data_tag,goal_tag,interval,task_tag,scene_object,video_success,task_matches_scene,goal_success,incremental_final,incremental_max,incremental_min,incremental_mean,incremental_max_drawdown,incremental_neg_hop_sum,incremental_pos_hop_sum,incremental_min_hop,incremental_max_hop,incremental_neg_hop_count,backward_final,backward_max,backward_min,backward_mean,backward_max_drawdown,backward_neg_hop_sum,backward_pos_hop_sum,backward_min_hop,backward_max_hop,backward_neg_hop_count,forward_final,forward_max,forward_min,forward_mean,forward_max_drawdown,forward_neg_hop_sum,forward_pos_hop_sum,forward_min_hop,forward_max_hop,forward_neg_hop_count,baseline_final_avg,trajectory_mean_avg,max_drawdown_avg,neg_hop_sum_avg
pick3fail_13_cube,blank,10,cube,cube,False,True,False,2.9662453847345294,34.800559762210845,0.0,19.840480651780744,31.834314377476318,211.8,48.1,-50.0,13.3,8,5.299999999999994,50.0,5.299999999999994,19.413043478260867,44.7,67.0,72.30000000000001,-13.8,9.100000000000009,19,4.8,47.6,0.0,20.98695652173913,43.1,59.20000000000002,64.00000000000001,-13.299999999999995,7.100000000000007,14,4.355415128244841,20.080160217260246,39.87810479249211,112.66666666666667
pick3fail_13_cube,blank,20,bottle,cube,False,False,False,3.0411282777863313,32.80809158387942,0.0,13.383194008424717,29.766963306093086,216.60000000000002,43.300000000000004,-50.0,6.2,7,4.799999999999994,25.0,4.5000000000000036,9.66,20.499999999999996,25.700000000000003,30.499999999999993,-5.200000000000005,7.699999999999996,9,0.0,30.8,0.0,11.414285714285715,30.8,36.5,36.50000000000001,-10.199999999999998,10.799999999999999,10,2.613709425928775,11.48582657423681,27.02232110203103,92.93333333333334
pick3fail_13_cube,blank,20,carrot,cube,False,False,False,1.3179194201808309,18.9666625,0.0,9.811441346890422,17.64874307981917,303.3,30.0,-50.0,10.0,9,4.799999999999994,38.1,4.799999999999994,10.765714285714287,33.30000000000001,56.20000000000001,61.00000000000001,-14.600000000000001,13.100000000000001,12,4.2,26.1,0.0,11.802857142857142,21.900000000000002,38.599999999999994,42.8,-8.700000000000003,8.300000000000002,10,3.439306473393608,10.793337591820617,24.282914359939728,132.70000000000002
pick3fail_13_cube,blank,20,cube,cube,False,True,False,10.00600488114679,51.45431853347957,0.0,24.851502552943227,41.448313652332786,149.2,76.10000000000001,-50.0,13.3,6,5.299999999999994,50.0,5.299999999999994,18.851428571428567,44.7,57.4,62.7,-16.700000000000003,13.8,9,4.8,47.6,0.0,20.565714285714286,43.1,54.100000000000016,58.900000000000006,-10.299999999999997,8.800000000000008,9,6.7020016270489275,21.422881803362028,43.08277121744426,86.9
pick3fail_2_cube,blank,10,bottle,cube,False,False,False,2.4012,5.0,0.0,2.289038709677419,2.5988,96.6,5.0,-33.3,5.0,4,5.000000000000004,33.3,4.799999999999994,9.61774193548387,28.500000000000004,58.60000000000005,63.600000000000044,-9.299999999999997,8.299999999999997,17,0.0,25.0,0.0,8.646774193548387,25.0,38.7,38.7,-7.600000000000001,5.800000000000001,12,2.467066666666668,6.851184946236559,18.6996,64.63333333333335
pick3fail_2_cube,blank,10,carrot,cube,False,False,False,4.39614,8.141,0.0,4.537829032258064,3.74486,100.0,10.3,-25.0,5.3,5,4.799999999999994,47.599999999999994,4.799999999999994,10.732258064516127,42.8,64.20000000000005,69.00000000000006,-14.3,14.3,16,0.0,37.5,0.0,9.924193548387096,37.5,51.000000000000014,51.00000000000001,-10.299999999999997,11.399999999999999,17,3.065379999999998,8.398093548387095,28.01495333333333,71.73333333333335
pick3fail_2_cube,blank,10,cube,cube,False,True,False,4.187510147010776,32.694486925787636,0.0,10.234581623370115,28.50697677877686,179.39999999999998,38.3,-33.3,7.7,8,5.299999999999994,47.4,5.299999999999994,13.73064516129032,42.10000000000001,73.80000000000003,79.10000000000004,-14.100000000000001,14.100000000000001,16,0.0,47.6,0.0,12.22258064516129,47.6,73.9,73.9,-14.300000000000008,14.300000000000008,14,3.162503382336923,12.062602476607243,39.40232559292562,109.03333333333333
pick3fail_2_cube,blank,20,bottle,cube,False,False,False,2.834746817161229,15.549059315164799,0.0,6.416424143332753,12.71431249800357,195.8,23.900000000000002,-50.0,5.0,7,5.000000000000004,31.599999999999994,4.799999999999994,9.541935483870967,26.8,43.500000000000014,48.500000000000014,-12.7,9.299999999999997,10,0.0,25.0,0.0,8.603225806451613,25.0,31.000000000000004,31.0,-10.0,10.0,7,2.6115822723870776,8.187195144551778,21.50477083266786,90.10000000000001
pick3fail_2_cube,blank,20,carrot,cube,False,False,False,2.89221892573888,16.028015625,0.0,7.578138052098747,13.135796699261117,242.0,29.5,-50.0,5.0,9,5.000000000000004,33.3,4.799999999999994,10.661290322580644,28.500000000000004,45.69999999999998,50.699999999999996,-13.900000000000002,14.3,11,0.0,36.4,0.0,9.787096774193548,36.4,40.8,40.8,-10.299999999999997,19.0,10,2.6307396419129616,9.342175049624313,26.01193223308704,109.5
pick3fail_2_cube,blank,20,cube,cube,False,True,False,3.4860415117732817,25.2115179254848,0.0,11.747299512011883,21.72547641371152,236.89999999999998,45.6,-50.0,6.7,10,5.299999999999994,47.4,5.299999999999994,13.632258064516126,42.10000000000001,65.39999999999999,70.7,-14.100000000000001,22.4,11,0.0,47.6,0.0,12.335483870967742,47.6,66.5,66.5,-14.300000000000008,24.900000000000006,12,2.9286805039244252,12.571680482498584,37.141825471237176,122.93333333333332
pick3fail_3_bottle,blank,10,bottle,bottle,False,True,False,3.1223571524814524,15.612829999999999,0.0,6.227842036298577,12.490472847518546,141.8,16.5,-33.3,6.2,7,4.799999999999994,33.3,4.799999999999994,15.158181818181816,28.500000000000004,68.10000000000005,72.90000000000005,-15.200000000000003,10.099999999999987,21,0.0,25.0,0.0,12.12,25.0,51.000000000000014,51.0,-5.700000000000001,7.600000000000001,18,2.640785717493815,11.16867461816013,21.996824282506182,86.9666666666667
pick3fail_3_bottle,blank,10,carrot,bottle,False,False,False,2.7313650000000003,9.75,0.0,3.6392810340909088,7.018635,110.8,10.0,-33.3,5.0,5,4.799999999999994,47.599999999999994,4.799999999999994,13.589090909090908,42.8,81.1,85.89999999999999,-22.4,22.599999999999998,14,4.3,36.4,0.0,11.821818181818182,32.199999999999996,57.199999999999996,61.5,-15.599999999999998,11.399999999999999,14,3.9437883333333312,9.683396708333333,27.339544999999998,83.03333333333333
pick3fail_3_bottle,blank,10,cube,bottle,False,False,False,10.007345390625,17.79083625,0.0,6.854707002840909,7.783490859375002,75.0,21.4,-25.0,11.1,3,5.299999999999994,73.7,5.000000000000004,16.339999999999996,68.4,129.1,134.39999999999998,-41.7,40.400000000000006,14,0.0,68.2,0.0,15.261818181818182,68.2,99.59999999999998,99.60000000000001,-40.099999999999994,30.300000000000004,16,5.1024484635416645,12.818841728219695,48.127830286458334,101.23333333333332
pick3fail_3_bottle,blank,20,bottle,bottle,False,True,False,1.6501475647936088,10.035,0.0,4.628451435875261,8.38485243520639,235.90000000000003,15.100000000000001,-40.0,5.3,9,5.000000000000004,33.3,4.799999999999994,15.357142857142856,28.500000000000004,42.600000000000016,47.60000000000002,-13.900000000000002,11.00000000000001,8,0.0,26.1,0.0,12.092857142857143,26.1,36.1,36.1,-7.500000000000001,9.4,8,2.2167158549312043,10.692817145291754,20.994950811735464,104.86666666666669
pick3fail_3_bottle,blank,20,carrot,bottle,False,False,False,4.010122605303016,14.082,0.0,7.759677152964218,10.071877394696985,150.89999999999998,19.8,-33.3,5.0,6,5.000000000000004,50.0,4.799999999999994,13.97857142857143,44.99999999999999,71.5,76.50000000000001,-23.7,28.900000000000002,9,4.2,33.3,0.0,11.964285714285714,29.099999999999998,42.39999999999999,46.599999999999994,-12.499999999999995,16.599999999999998,10,4.403374201767673,11.23417809860712,28.057292464898993,88.26666666666665
pick3fail_3_bottle,blank,20,cube,bottle,False,False,False,6.816445362476216,20.428902078125,0.0,7.461824096469932,13.612456715648783,141.6,26.4,-33.3,11.1,5,5.299999999999994,66.7,5.299999999999994,16.27142857142857,61.400000000000006,85.70000000000003,91.0,-45.60000000000001,31.300000000000004,6,0.0,68.2,0.0,15.935714285714287,68.2,71.2,71.2,-40.9,32.2,8,4.0388151208254035,13.222988984537595,47.73748557188293,99.50000000000001
pick3fail_4,blank,10,bottle,carrot,False,False,False,51.519744617245244,51.519744617245244,0.0,11.91460534220353,3.59375,150.0,71.3,-50.0,16.7,4,0.0,80.0,0.0,20.99230769230769,80.0,158.00000000000009,158.00000000000009,-59.699999999999996,16.700000000000003,30,40.0,66.7,0.0,23.463736263736262,32.1,99.89999999999999,139.90000000000003,-17.899999999999995,14.600000000000001,28,30.506581539081747,18.790216432749162,38.56458333333333,135.9666666666667
pick3fail_4,blank,10,carrot,carrot,False,True,False,35.42051100903442,35.42051100903442,0.0,20.9112294039689,18.950004279368542,110.3,69.7,-28.6,16.7,5,89.5,100.0,4.799999999999994,37.58131868131868,36.3,110.90000000000005,200.40000000000003,-21.099999999999998,15.000000000000002,18,95.2,95.2,0.0,37.20989010989011,32.9,76.60000000000002,171.80000000000004,-18.299999999999997,15.099999999999996,19,73.37350366967814,31.900812731725896,29.383334759789513,99.2666666666667
